name
 Robert Preston
 Laird Cregar
 Jack Benny
 Robert Stack
 Felix Bressart
 Reginald Owen
 Walter Huston
 Richard Whorf
Ethel Waters
 Eddie 'Rochester' Anderson
 Lena Horne
 Louis Armstrong
 John Garfield
 Alan Hale
 John Ridgely
 Akim Tamiroff
 Arturo de Córdova
Ilona Massey
 Patric Knowles
Preston Foster
 Lloyd Nolan
 William Bendix
 Richard Conte
Gene Tierney
 Marjorie Main
James Ellison
 Frances Dee
 Edith Barrett
Roddy McDowall
James McKechnie
 Neville Mapp
 Vincent Holman
 Roger Livesey
Nelson Eddy
 Susanna Foster
 Edgar Barrier
 Bruce Bennett
 J. Carrol Naish
 Lloyd Bridges
Fred Shields
 José Oliveira
Tom Conway
 Jean Brooks
 Isabel Jewell
 Kim Hunter
Teresa Wright
 Joseph Cotten
 Macdonald Carey
Robert Paige
 Louise Allbritton
 Evelyn Ankers
 Frank Craven
Jennifer Jones
 Vincent Price
 Lee J. Cobb
Lena Horne
 Bill Robinson
 Cab Calloway and His Cotton Club Orchestra
 Katherine Dunham and Her Troupe
George Murphy
Kirsten Andreasen
 Sigurd Berg
 Harald Holst
 Albert Høeberg
 Priscilla Lane
 Ann Carter
Fred MacMurray
 Edward G. Robinson
 Porter Hall
 Susan Hayward
 Dennis O'Keefe
 William Frawley
Charles Boyer
Myrna Loy
 Dana Andrews
 Barry Fitzgerald
 Frank McHugh
 James Brown
Eddie Bracken
 Ella Raines
 Raymond Walburn
 Felix Aylmer
 Robert Helpmann
 Vernon Greeves
Orson Welles
 Margaret O'Brien
 Peggy Ann Garner
 Clifton Webb
Tallulah Bankhead
 Walter Slezak
 Mary Anderson
 Lucille Bremer
Ray Milland
 Carl Esmond
 Hillary Brooke
 George Coulouris
 Peter Coe
 Virginia Christine
 Kay Harding
 Robert Lowery
 Ramsay Ames
Dick Powell
Mickey Rooney
 Elizabeth Taylor
 Anne Revere
 Gloria DeHaven
 Lauren Bacall
 Dolores Moran
 Cornelia Otis Skinner
 Edmund Breon
Frank Sinatra
 Kathryn Grayson
 Gene Kelly
 José Iturbi
Barry Fitzgerald
 Louis Hayward
 Edith Atwater
Celia Johnson
 Trevor Howard
 Stanley Holloway
 Joyce Carey
 Robert Walker
 James Gleason
 Keenan Wynn
Tom Neal
 Ann Savage
 Claudia Drake
 Edmund MacDonald
Betty Grable
 John Payne
 June Haver
 S.Z. Sakall
Arletty
 Jean-Louis Barrault
 Pierre Brasseur
 Pierre Renoir
George Carney
 Walter Hudd
 Duncan MacKechnie
 Cornel Wilde
 Jeanne Crain
 Jane Wyman
 Phillip Terry
 Howard Da Silva
Joan Crawford
 Zachary Scott
 Eve Arden
George Sanders
 Hurd Hatfield
 Angela Lansbury
 Dan Duryea
Peter Lawford
 June Lockhart
 Merle Oberon
 Nina Foch
Ingrid Bergman
 Gregory Peck
 Michael Chekhov
 Leo G. Carroll
Jeanne Crain
 Dick Haymes
 Vivian Blaine
Robert Montgomery
Aurora Miranda
 Carmen Molina
 Dora Luz
 Sterling Holloway
Dana Andrews
 George Tyne
 John Ireland
 Onslow Stevens
 Rex Harrison
 Billy House
 Richard Fraser
Jean Marais
 Josette Day
 Nane Germon
 Martha Vickers
Dan Duryea
 June Vincent
 Broderick Crawford
Rex Harrison
 Constance Cummings
 Kay Hammond
 Margaret Rutherford
Alan Ladd
Rita Hayworth
 Glenn Ford
 George Macready
Leo Genn
 Henry Edwards
 Ronald Adam
 John Hodiak
James Stewart
Burt Lancaster
 Ava Gardner
 Edmond O'Brien
 Albert Dekker
 Dinah Shore
 Benny Goodman
 The Andrews Sisters
 Victor Mature
 Cathy Downs
 Louis Calhern
Carmela Sazio
 Robert Van Loon
 Benjamin Emanuel
 Raymond Campbell
Lana Turner
 Cecil Kellaway
 Hume Cronyn
 Gene Tierney
Aldo Fabrizi
 Anna Magnani
 Marcello Pagliero
 Vito Annichiarico
Ruth Warrick
 Bobby Driscoll
 James Baskett
 Luana Patten
Dorothy McGuire
 Ethel Barrymore
 Lizabeth Scott
 Kirk Douglas
 Loretta Young
 Orson Welles
 Philip Merivale
Gregory Peck
 Claude Jarman Jr.
 Chill Wills
 Gail Russell
 Harry Carey
 Shirley Temple
Deborah Kerr
 Jenny Laird
 Judith Furse
 Lilli Palmer
 Hazel Brooks
Robert Young
 Robert Mitchum
 Robert Ryan
 Gloria Grahame
 Morris Carnovsky
 Charles Cane
 Signe Hasso
 Shelley Winters
Loretta Young
Edgar Bergen
 Charlie McCarthy
 Mortimer Snerd
 Dorothy McGuire
 Celeste Holm
Edmund Moeschke
 Ernst Pittschau
 Ingetraud Hinze
 Franz-Otto Krüger
Victor Mature
 Brian Donlevy
 Coleen Gray
 Richard Widmark
Maureen O'Hara
 Mady Correll
 Allison Roddan
 Robert Lewis
Bob Hope
 Helen Walker
James Mason
 Robert Newton
 Cyril Cusack
 F.J. McCormick
Robert Mitchum
 Jane Greer
 Rhonda Fleming
 Ann Todd
 Charles Laughton
Betty Hutton
 John Lund
 Billy De Wolfe
 Geraldine Brooks
Louis Jouvet
 Simone Renant
 Bernard Blier
 Suzy Delair
John Ireland
 Hugh Beaumont
Danny Kaye
